run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2024-09-24_10.50.19,A-1,2630,8390,1,0.0018359457103799721,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 11.71371221360747}, {'start_idx': 4550, 'end_idx': 4619, 'score': 8.846763239865773}, {'start_idx': 4620, 'end_idx': 4665, 'score': 7.214083658819489}]",0,0,1,[],"[(4730, 4915)]",1,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 11.71371221360747}, {'start_idx': 4550, 'end_idx': 4619, 'score': 8.846763239865773}, {'start_idx': 4620, 'end_idx': 4665, 'score': 7.214083658819489}]",SMAP,"[[4690, 4774]]",[point]
2024-09-24_10.50.19,A-2,2398,7664,2,0.07328136615092322,"[{'start_idx': 788, 'end_idx': 1097, 'score': 1.7964540936103077}, {'start_idx': 1245, 'end_idx': 1468, 'score': 1.732950072031203}]",2,1,0,"[[1038, 1347], [1495, 1718]]",[],1,"[{'start_idx': 788, 'end_idx': 1097, 'score': 1.7964540936103077}, {'start_idx': 1245, 'end_idx': 1468, 'score': 1.732950072031203}]",SMAP,"[[4450, 4560]]",[contextual]
2024-09-24_10.50.19,A-3,2486,7955,1,0.04424673720748672,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 2.661761664338331}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.092849253129453}, {'start_idx': 4480, 'end_idx': 4549, 'score': 3.688907962786961}, {'start_idx': 4550, 'end_idx': 4619, 'score': 3.3144371813114493}]",0,0,1,[],"[(4590, 4869)]",1,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 2.661761664338331}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.092849253129453}, {'start_idx': 4480, 'end_idx': 4549, 'score': 3.688907962786961}, {'start_idx': 4550, 'end_idx': 4619, 'score': 3.3144371813114493}]",SMAP,"[[4575, 4760]]",[contextual]
2024-09-24_10.50.19,A-4,2440,7830,1,0.05484746840861886,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.873837925470295}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.212207880035255}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.918861317531221}, {'start_idx': 4480, 'end_idx': 4549, 'score': 2.362495278847405}]",0,0,1,[],"[(4520, 4799)]",1,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.873837925470295}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.212207880035255}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.918861317531221}, {'start_idx': 4480, 'end_idx': 4549, 'score': 2.362495278847405}]",SMAP,"[[4550, 4660]]",[contextual]
2024-09-24_10.50.19,A-5,455,4443,1,0.06925485062955923,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 19.520326320442035}, {'start_idx': 2520, 'end_idx': 2589, 'score': 13.176533468438578}, {'start_idx': 2590, 'end_idx': 2659, 'score': 11.63532881690715}, {'start_idx': 2660, 'end_idx': 2729, 'score': 10.684254682903807}, {'start_idx': 2730, 'end_idx': 2799, 'score': 9.996641687087374}]",0,0,1,[],"[(2700, 3049)]",1,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 19.520326320442035}, {'start_idx': 2520, 'end_idx': 2589, 'score': 13.176533468438578}, {'start_idx': 2590, 'end_idx': 2659, 'score': 11.63532881690715}, {'start_idx': 2660, 'end_idx': 2729, 'score': 10.684254682903807}, {'start_idx': 2730, 'end_idx': 2799, 'score': 9.996641687087374}]",SMAP,"[[2750, 2800]]",[point]
2024-09-24_10.50.19,A-6,432,4203,1,0.0815369821621524,"[{'start_idx': 1556, 'end_idx': 1818, 'score': 2.9654117687108785}]",0,0,1,[],"[(1806, 2068)]",1,"[{'start_idx': 1556, 'end_idx': 1818, 'score': 2.9654117687108785}]",SMAP,"[[1890, 1930]]",[point]
2024-09-24_10.50.19,A-7,2629,8381,1,0.06543485733326954,"[{'start_idx': 6020, 'end_idx': 6089, 'score': 5.53270208221574}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.963527709794661}, {'start_idx': 6160, 'end_idx': 6229, 'score': 7.1788678382022875}, {'start_idx': 6230, 'end_idx': 6299, 'score': 7.15281538193267}, {'start_idx': 6300, 'end_idx': 6369, 'score': 7.114273176265251}]",0,0,1,[],"[(6270, 6619)]",1,"[{'start_idx': 6020, 'end_idx': 6089, 'score': 5.53270208221574}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.963527709794661}, {'start_idx': 6160, 'end_idx': 6229, 'score': 7.1788678382022875}, {'start_idx': 6230, 'end_idx': 6299, 'score': 7.15281538193267}, {'start_idx': 6300, 'end_idx': 6369, 'score': 7.114273176265251}]",SMAP,"[[6200, 8600]]",[contextual]
2024-09-24_10.50.19,A-8,512,8125,1,0.05541910379649632,"[{'start_idx': 7840, 'end_idx': 7909, 'score': 5.809749606967685}, {'start_idx': 7910, 'end_idx': 7979, 'score': 6.8434218787956835}, {'start_idx': 7980, 'end_idx': 8049, 'score': 7.249185103435064}]",0,0,1,[],"[(8090, 8299)]",1,"[{'start_idx': 7840, 'end_idx': 7909, 'score': 5.809749606967685}, {'start_idx': 7910, 'end_idx': 7979, 'score': 6.8434218787956835}, {'start_idx': 7980, 'end_idx': 8049, 'score': 7.249185103435064}]",SMAP,"[[4569, 8374]]",[contextual]
2024-09-24_10.50.19,A-9,512,8184,1,0.054958756156145185,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 4.844268800570012}]",0,0,1,[],"[(8230, 8299)]",1,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 4.844268800570012}]",SMAP,"[[4569, 8433]]",[contextual]
2024-09-24_10.50.19,B-1,2185,7794,1,0.13297616370062446,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 12.500550976368443}, {'start_idx': 4830, 'end_idx': 4899, 'score': 15.147325153307616}, {'start_idx': 4900, 'end_idx': 4969, 'score': 12.801240198915366}, {'start_idx': 4970, 'end_idx': 5039, 'score': 11.463474136433772}, {'start_idx': 5040, 'end_idx': 5109, 'score': 10.571218974373378}, {'start_idx': 5110, 'end_idx': 5179, 'score': 9.908087549738617}]",0,0,1,[],"[(5010, 5429)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 12.500550976368443}, {'start_idx': 4830, 'end_idx': 4899, 'score': 15.147325153307616}, {'start_idx': 4900, 'end_idx': 4969, 'score': 12.801240198915366}, {'start_idx': 4970, 'end_idx': 5039, 'score': 11.463474136433772}, {'start_idx': 5040, 'end_idx': 5109, 'score': 10.571218974373378}, {'start_idx': 5110, 'end_idx': 5179, 'score': 9.908087549738617}]",SMAP,"[[5060, 5130]]",[point]
